antibody,arm1_target,arm1_pdb,arm2_target,arm2_pdb,n_arms
Acapatamab,CD3E,Acapatamab_CD3E_fixed.pdb,FOLH1_GCPII_PSMA,Acapatamab_FOLH1_GCPII_PSMA_fixed.pdb,2
Acasunlimab,PDL1_CD274,Acasunlimab_PDL1_CD274_fixed.pdb,TNFRSF9_CD137_4-1BB,Acasunlimab_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Acimtamig,FCGR3A_CD16_CD16A,Acimtamig_FCGR3A_CD16_CD16A_fixed.pdb,TNFRSF8_CD30,Acimtamig_TNFRSF8_CD30_fixed.pdb,2
Alnuctamab,CD3E,Alnuctamab_CD3E_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Alnuctamab_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Amivantamab,EGFR_ERBB1_HER1,Amivantamab_EGFR_ERBB1_HER1_fixed.pdb,MET_HGFR,Amivantamab_MET_HGFR_fixed.pdb,2
Amostomig,IAP_CD47_MER6_OA3,Amostomig_IAP_CD47_MER6_OA3_fixed.pdb,PDL1_CD274,Amostomig_PDL1_CD274_fixed.pdb,2
Anbenitamab_ERBB2_CD340,HER2(DomainII),Anbenitamab_ERBB2_CD340_HER2(DomainII)_fixed.pdb,HER2(DomainIV),Anbenitamab_ERBB2_CD340_HER2(DomainIV)_fixed.pdb,2
Arumakimig,IL18,Arumakimig_IL18_fixed.pdb,IL1B,Arumakimig_IL1B_fixed.pdb,2
Azerutamig,ERBB2_CD340_HER2,Azerutamig_ERBB2_CD340_HER2_fixed.pdb,KLRK1_NKG2D_CD314,Azerutamig_KLRK1_NKG2D_CD314_fixed.pdb,2
Bafisontamab,EGFR_ERBB1_HER1,Bafisontamab_EGFR_ERBB1_HER1_fixed.pdb,MET_HGFR,Bafisontamab_MET_HGFR_fixed.pdb,2
Bavunalimab,CTLA4_CD152,Bavunalimab_CTLA4_CD152_fixed.pdb,LAG3_CD223,Bavunalimab_LAG3_CD223_fixed.pdb,2
Besufetamig,CD3E,Besufetamig_CD3E_fixed.pdb,PDCD1_CD279_PD1,Besufetamig_PDCD1_CD279_PD1_fixed.pdb,2
Bexatamig,IL3RA_CD123,Bexatamig_IL3RA_CD123_fixed.pdb,NCR1_NKP46_NKp46_LY94_CD335,Bexatamig_NCR1_NKP46_NKp46_LY94_CD335_fixed.pdb,2
Blinatumomab,CD19,Blinatumomab_CD19_fixed.pdb,CD3E,Blinatumomab_CD3E_fixed.pdb,2
Cabotamig,CD3E,Cabotamig_CD3E_fixed.pdb,CDH17,Cabotamig_CDH17_fixed.pdb,2
Cadonilimab,CTLA4_CD152,Cadonilimab_CTLA4_CD152_fixed.pdb,PDCD1_CD279_PD1,Cadonilimab_PDCD1_CD279_PD1_fixed.pdb,2
Cevostamab,CD3,Cevostamab_CD3_fixed.pdb,FCRL5_CD307,Cevostamab_FCRL5_CD307_fixed.pdb,2
Cibisatamab,CD3E,Cibisatamab_CD3E_fixed.pdb,CEACAM5_CD66eandCD3E,Cibisatamab_CEACAM5_CD66eandCD3E_fixed.pdb,2
Ciduvectamig,CD3E,Ciduvectamig_CD3E_fixed.pdb,TMEFF2,Ciduvectamig_TMEFF2_fixed.pdb,2
Cizutamig,CD3E,Cizutamig_CD3E_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Cizutamig_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Clesitamig,CD3&TNFRSF9_CD137_4-1BB,Clesitamig_CD3&TNFRSF9_CD137_4-1BB_fixed.pdb,DLL3,Clesitamig_DLL3_fixed.pdb,2
Cugrastomig,LAG3_CD223,Cugrastomig_LAG3_CD223_fixed.pdb,PDCD1_CD279_PD1,Cugrastomig_PDCD1_CD279_PD1_fixed.pdb,2
Danvilostomig,CTLA4_CD152,Danvilostomig_CTLA4_CD152_fixed.pdb,PDCD1_CD279_PD1,Danvilostomig_PDCD1_CD279_PD1_fixed.pdb,2
Davutamig_MET_HGFR,,Davutamig_MET_HGFR_fixed.pdb,,,1
Denecimig,F10,Denecimig_F10_fixed.pdb,F9,Denecimig_F9_fixed.pdb,2
Dilpacimab,DLL4,Dilpacimab_DLL4_fixed.pdb,VEGFA,Dilpacimab_VEGFA_fixed.pdb,2
